id_interaccion,id_origen,tipo_origen,id_destino,tipo_destino,tipo_interaccion,valor_interaccion,interaccion_precedente,id_curso,fecha,plataforma
62,252,alumno,357,alumno,comentario,Eum ullam neque beatae laborum asperiores quidem et sit sunt laboriosam dolorem eligendi facilis.,30,0,2006-11-08 04:23:03.494,facebook
63,357,alumno,17,material,consulta,null,-1,0,2006-11-02 19:14:56.998,crea
64,368,alumno,138,alumno,comentario,Quis debitis non repellat ex blanditiis iste assumenda eius voluptas quaerat nemo aut.,26,0,2006-09-24 05:47:14.185,crea
65,79,alumno,120,alumno,comentario,Et culpa ex blanditiis et autem accusantium vel rerum qui earum sunt vel dignissimos molestiae quam.,37,0,2006-09-05 06:51:29.639,facebook
66,0,docente,368,alumno,mencion,@molestias,64,0,2006-10-29 00:30:21.455,facebook
67,371,alumno,11,material,consulta,null,-1,0,2006-08-23 01:47:53.246,crea
68,252,alumno,-1,null,publicacion,Quo autem et quia magnam aperiam eveniet quibusdam et tenetur soluta dicta ad quibusdam ipsum.,-1,0,2006-10-28 11:39:01.413,crea
69,494,alumno,252,alumno,reaccion,me_divierte,68,0,2006-09-28 02:15:13.068,facebook
70,0,docente,202,alumno,mensaje,Hic quia neque quas aut nobis et laboriosam nesciunt qui ratione maxime voluptas nisi nesciunt omnis assumenda temporibus labore.,-1,0,2006-10-25 10:30:35.494,crea
71,168,alumno,19,alumno,reaccion,me_asombra,8,0,2006-09-30 16:39:52.103,facebook
72,44,alumno,9,material,consulta,null,-1,0,2006-11-08 02:26:04.283,facebook
73,252,alumno,-1,null,publicacion,Consequatur rem harum quisquam ducimus tempora nobis autem accusantium inventore et aspernatur fugiat et perspiciatis mollitia nihil dignissimos est accusantium.,-1,0,2006-09-04 11:13:37.923,crea
74,120,alumno,0,docente,comentario,Eius quam molestiae et tempora inventore suscipit voluptate veritatis ut aut.,1,0,2006-11-24 00:45:24.057,crea
75,0,docente,138,alumno,mensaje,Earum et voluptates magnam autem consectetur doloribus rem blanditiis nesciunt ea quo distinctio nihil in sit qui labore.,-1,0,2006-09-04 04:43:27.209,crea
76,559,alumno,-1,null,publicacion,Quo et optio accusantium deleniti qui recusandae iste et distinctio aut praesentium repellat eaque ipsum.,-1,0,2006-08-19 18:56:44.249,facebook
77,559,alumno,138,alumno,mencion,@eum,28,0,2006-11-01 02:16:29.632,facebook
78,252,alumno,-1,null,publicacion,Rerum dicta sunt vel non et qui impedit ipsa rem asperiores aspernatur pariatur voluptatum nihil expedita tempore quas atque aut maxime.,-1,0,2006-11-17 19:39:30.345,crea
79,35,alumno,252,alumno,reaccion,me_encanta,62,0,2006-09-23 18:03:17.187,facebook
80,582,alumno,202,alumno,mencion,@aliquid,9,0,2006-08-15 19:12:49.24,facebook
81,499,alumno,21,material,consulta,null,-1,0,2006-09-17 12:18:43.96,facebook
82,0,docente,586,alumno,reaccion,me_gusta,20,0,2006-11-13 12:55:05.179,facebook
83,610,alumno,-1,null,publicacion,Rerum quia voluptatem repudiandae enim distinctio minima sint quasi excepturi excepturi quia quaerat rerum voluptatem rerum.,-1,0,2006-09-28 20:49:43.216,crea
84,355,alumno,19,alumno,mencion,@omnis,8,0,2006-09-11 03:24:20.419,facebook
85,44,alumno,306,alumno,mencion,@corrupti,43,0,2006-08-23 09:06:11.966,facebook
86,35,alumno,559,alumno,comentario,Ut sed optio non omnis eos placeat atque voluptatem ullam iste voluptatem et quo aut voluptatem.,76,0,2006-11-05 08:32:17.811,crea
87,261,alumno,8,material,consulta,null,-1,0,2006-11-16 21:58:56.146,crea
88,371,alumno,610,alumno,mensaje,Tempore vel quas pariatur voluptatibus fugit incidunt repellat voluptas inventore fugiat eligendi harum cumque ut veniam similique et officiis.,-1,0,2006-09-06 03:17:26.56,crea
89,202,alumno,0,docente,comentario,Fugiat omnis nesciunt sed quis ut ratione fugiat non culpa pariatur id totam quae pariatur sequi.,41,0,2006-08-31 19:51:25.283,facebook
90,559,alumno,559,alumno,mencion,@hic,76,0,2006-09-30 20:09:49.393,facebook
91,355,alumno,368,alumno,mencion,@illo,64,0,2006-11-03 00:20:32.65,facebook
92,0,docente,559,alumno,mencion,@quod,90,0,2006-08-31 15:02:57.258,facebook
93,202,alumno,13,material,consulta,null,-1,0,2006-09-18 22:43:02.228,facebook
94,252,alumno,377,alumno,mencion,@rerum,0,0,2006-09-16 11:39:31.458,facebook
95,371,alumno,252,alumno,reaccion,me_encanta,94,0,2006-10-14 15:19:18.399,facebook
96,261,alumno,138,alumno,comentario,Qui ut sunt fuga eligendi aliquam repellat ipsa omnis omnis dolor consequuntur vel rem aut sunt.,28,0,2006-08-16 17:35:05.595,facebook
97,610,alumno,582,alumno,reaccion,me_divierte,60,0,2006-08-15 10:23:30.623,facebook
98,377,alumno,120,alumno,reaccion,me_divierte,37,0,2006-11-16 14:57:42.993,facebook
99,357,alumno,582,alumno,reaccion,me_entristece,60,0,2006-11-05 08:27:55.364,facebook
100,306,alumno,17,material,consulta,null,-1,0,2006-11-23 16:51:26.164,facebook
101,0,docente,377,alumno,reaccion,me_divierte,0,0,2006-08-22 15:28:43.085,facebook
102,261,alumno,559,alumno,comentario,Iste in eos molestias consequatur atque non tempore asperiores voluptatem sit qui quas vel laborum minima.,48,0,2006-11-16 03:59:02.963,facebook
103,499,alumno,3,material,consulta,null,-1,0,2006-10-19 16:50:57.268,crea
104,202,alumno,494,alumno,reaccion,me_divierte,69,0,2006-11-10 10:43:54.213,facebook
105,168,alumno,494,alumno,comentario,Ut fugiat vitae hic eaque et nemo impedit non fugiat ipsa saepe.,69,0,2006-11-27 22:47:53.454,crea
106,615,alumno,0,docente,mensaje,Placeat ad saepe vel recusandae nemo consequatur consequatur repudiandae in explicabo et et voluptatem vel.,-1,0,2006-11-10 10:07:27.554,crea
107,582,alumno,44,alumno,mensaje,Impedit deserunt nobis doloremque et ipsam eos quo vel blanditiis qui ex incidunt facilis voluptatibus animi non saepe.,-1,0,2006-09-23 21:34:24.387,crea
108,615,alumno,25,material,consulta,null,-1,0,2006-08-29 05:32:34.245,crea
109,499,alumno,559,alumno,mencion,@minus,76,0,2006-08-30 20:25:36.778,facebook
110,261,alumno,10,material,consulta,null,-1,0,2006-08-24 22:25:59.057,crea
111,377,alumno,-1,null,publicacion,Repellendus qui architecto nihil iste et laboriosam placeat ullam tenetur vel eius voluptas quia sapiente error amet.,-1,0,2006-09-24 01:34:40.66,crea
112,494,alumno,252,alumno,mencion,@ratione,68,0,2006-09-24 08:21:47.861,facebook
113,496,alumno,-1,null,publicacion,Aperiam quos est repellendus dicta cumque et quia nisi dicta voluptates explicabo eos accusantium minus quo voluptas et aut.,-1,0,2006-08-21 06:41:49.555,facebook
114,371,alumno,371,alumno,comentario,Quibusdam deserunt officia totam molestiae suscipit autem voluptatibus inventore aspernatur dicta nulla modi consequatur nihil.,50,0,2006-09-22 23:09:48.857,facebook
115,202,alumno,615,alumno,mencion,@et,29,0,2006-09-23 08:55:10.309,facebook
116,357,alumno,19,alumno,mencion,@eveniet,8,0,2006-11-22 13:24:18.412,facebook
117,355,alumno,14,material,consulta,null,-1,0,2006-09-19 03:36:18.014,crea
118,168,alumno,252,alumno,mencion,@quos,78,0,2006-09-24 02:16:36.16,facebook
119,120,alumno,-1,null,publicacion,Commodi quod omnis dolor explicabo voluptatibus distinctio repellat eveniet et rerum eius ab excepturi voluptatem explicabo.,-1,0,2006-11-01 09:59:23.968,crea
120,0,docente,0,docente,mensaje,Ea ipsam suscipit qui cum aliquam ut veritatis qui consequuntur quia sit enim quia illum quo.,21,0,2006-11-27 02:10:50.441,crea
121,252,alumno,4,material,consulta,null,-1,0,2006-09-08 14:30:05.75,crea
122,0,docente,-1,null,publicacion,Dolor esse est totam eligendi corrupti nihil cupiditate ducimus quas laudantium quis quibusdam sequi iusto repellendus qui inventore enim vero.,-1,0,2006-10-25 02:07:45.315,facebook
123,615,alumno,-1,null,publicacion,Harum labore qui autem commodi ut vel in voluptas veritatis quia quibusdam consequatur aut accusantium et dolorem.,-1,0,2006-11-07 09:54:01.162,crea
124,496,alumno,-1,null,publicacion,Iste similique amet id et voluptatum quia culpa ut corporis quae maiores voluptas sunt porro porro repudiandae placeat aut.,-1,0,2006-09-09 01:57:26.552,facebook
125,44,alumno,559,alumno,reaccion,me_enoja,48,0,2006-11-24 09:01:50.53,facebook
126,377,alumno,355,alumno,reaccion,me_divierte,84,0,2006-09-24 23:14:33.94,facebook
127,138,alumno,306,alumno,mensaje,Necessitatibus temporibus expedita placeat provident magnam debitis libero at minus non ut inventore et accusantium velit qui quo et.,-1,0,2006-11-05 20:54:07.327,crea
128,35,alumno,559,alumno,comentario,Occaecati aut nam magni quia minima consectetur eius vel ut officia rerum molestias provident ducimus.,48,0,2006-09-08 13:17:42.605,crea
129,424,alumno,355,alumno,mencion,@exercitationem,91,0,2006-11-12 09:24:38.586,facebook
130,168,alumno,79,alumno,comentario,At voluptas molestias ut dolor ad iusto deserunt animi temporibus laboriosam excepturi.,15,0,2006-11-09 23:58:59.717,facebook
131,357,alumno,499,alumno,mencion,@facilis,56,0,2006-10-27 05:45:46.611,facebook
132,610,alumno,202,alumno,mencion,@molestiae,104,0,2006-11-28 15:54:03.829,facebook
133,355,alumno,138,alumno,mensaje,Ullam ad a quisquam velit quibusdam et amet deleniti reprehenderit voluptas nihil ut alias qui labore enim reiciendis cumque.,-1,0,2006-08-30 13:57:34.756,crea
134,494,alumno,138,alumno,comentario,Dolorem recusandae et porro nostrum corrupti recusandae suscipit repellendus est magni eius cupiditate voluptatem quo architecto.,28,0,2006-11-15 23:15:23.875,facebook
135,138,alumno,3,material,consulta,null,-1,0,2006-10-31 22:28:50.677,facebook
136,355,alumno,0,docente,reaccion,me_entristece,122,0,2006-11-25 18:59:30.798,facebook
137,582,alumno,610,alumno,mensaje,Quae molestias et ipsa odit quis ipsa dolore vitae blanditiis cupiditate eos modi ullam est fugiat minima libero nihil.,-1,0,2006-09-26 17:51:41.762,crea
138,202,alumno,615,alumno,mencion,@amet,35,0,2006-09-12 00:18:49.158,facebook
139,0,docente,252,alumno,mensaje,Earum porro animi rerum enim aliquid voluptas fugit culpa quo iure pariatur nihil aut ex consequatur ea dolor.,39,0,2006-09-08 09:48:46.428,crea
140,499,alumno,9,material,consulta,null,-1,0,2006-11-01 02:41:02.003,facebook
141,0,docente,-1,null,publicacion,Laudantium esse quis saepe animi architecto voluptatem adipisci est enim occaecati adipisci praesentium necessitatibus qui vitae.,-1,0,2006-10-19 13:27:28.261,facebook
142,138,alumno,559,alumno,reaccion,me_divierte,48,0,2006-09-14 12:51:57.616,facebook
143,586,alumno,17,material,consulta,null,-1,0,2006-09-20 18:46:11.381,facebook
144,120,alumno,19,alumno,mensaje,Quos dolorem nam modi expedita deleniti molestiae est eum animi dicta soluta amet distinctio qui recusandae dicta et.,-1,0,2006-11-28 09:05:53.023,crea
145,424,alumno,559,alumno,comentario,Mollitia voluptas ut dignissimos culpa nihil labore deleniti quasi eveniet ea doloribus perferendis est.,90,0,2006-08-25 15:50:21.452,facebook
146,44,alumno,306,alumno,reaccion,me_gusta,43,0,2006-09-21 05:33:43.089,facebook
147,168,alumno,-1,null,publicacion,Sed dolores id reprehenderit atque molestias ducimus reprehenderit vel ea quisquam sint iste commodi sed et fuga dolor.,-1,0,2006-09-01 18:45:47.148,crea
148,610,alumno,377,alumno,comentario,Corrupti et dolorum magnam alias voluptatem dignissimos possimus et excepturi optio incidunt.,3,0,2006-09-02 10:24:35.885,facebook
149,357,alumno,19,material,consulta,null,-1,0,2006-09-10 10:58:04.121,crea
150,499,alumno,-1,null,publicacion,Consectetur perspiciatis cum amet beatae quia sed dicta rerum et voluptatem eos quos autem neque qui facilis perspiciatis quod ab consequuntur.,-1,0,2006-10-06 13:37:27.509,crea
151,202,alumno,496,alumno,mensaje,Tempora vitae consequatur fuga officia laborum consequuntur commodi enim natus aut assumenda iure excepturi repellat a quo nisi autem.,-1,0,2006-09-18 20:24:05.186,crea
152,355,alumno,18,material,consulta,null,-1,0,2006-09-28 22:40:42.013,crea
153,355,alumno,4,material,consulta,null,-1,0,2006-09-09 02:33:21.73,facebook
154,355,alumno,357,alumno,mensaje,Suscipit aspernatur amet consequuntur ut neque illum qui ut et cupiditate in consectetur doloremque consequatur eos distinctio sequi qui omnis.,-1,0,2006-11-19 17:14:57.235,crea
155,496,alumno,1,material,consulta,null,-1,0,2006-08-31 02:00:57.586,crea
156,615,alumno,559,alumno,reaccion,me_encanta,76,0,2006-10-26 05:56:43.675,facebook
157,261,alumno,168,alumno,mencion,@eligendi,147,0,2006-09-14 20:54:31.413,facebook
158,499,alumno,-1,null,publicacion,Eius laborum architecto et in omnis aut explicabo quia odio doloremque architecto deserunt fugit fugiat et ducimus non est.,-1,0,2006-10-03 12:06:13.251,facebook
159,19,alumno,-1,null,publicacion,Vero et deserunt qui recusandae voluptatem amet repellat voluptatem deserunt autem ex unde inventore aperiam non consectetur eos adipisci.,-1,0,2006-08-24 12:43:50.532,facebook
160,202,alumno,424,alumno,reaccion,me_enoja,12,0,2006-11-30 18:43:29.092,facebook
161,168,alumno,35,alumno,mencion,@aut,14,0,2006-11-13 20:25:48.35,facebook
162,615,alumno,252,alumno,mensaje,Suscipit ut voluptates excepturi non fugiat ut omnis fugit mollitia fugit soluta ut in accusantium quia ut voluptatibus consequatur doloremque illo.,59,0,2006-10-05 01:24:35.276,crea
163,357,alumno,202,alumno,mensaje,Nisi eveniet cupiditate reprehenderit totam debitis reiciendis voluptates deleniti quas et sint quasi ipsam iure assumenda dignissimos minus quos sunt quam.,59,0,2006-11-11 13:48:57.974,crea
164,368,alumno,-1,null,publicacion,Unde soluta consequatur quod ipsum rerum officiis minus cumque aut omnis dolorum possimus et voluptatem.,-1,0,2006-09-15 11:30:59.099,facebook
165,0,docente,306,alumno,reaccion,me_encanta,43,0,2006-10-03 03:32:24.494,facebook
166,0,docente,-1,null,publicacion,Aut aut esse necessitatibus nihil laudantium aperiam velit nostrum enim magnam hic rerum qui iste facere facilis expedita.,-1,0,2006-08-21 17:57:47.723,facebook
167,582,alumno,-1,null,publicacion,Soluta magnam et mollitia placeat perspiciatis et incidunt sed et quam recusandae omnis et asperiores impedit animi nesciunt mollitia.,-1,0,2006-09-04 09:35:43.114,facebook
168,610,alumno,35,alumno,mensaje,Est consequatur error dolor eveniet asperiores fugit quia sed aut modi molestiae odio hic explicabo nam expedita.,-1,0,2006-09-20 15:24:12.494,crea
169,0,docente,586,alumno,mensaje,Sequi sunt esse similique iure et quidem velit voluptatum quo voluptatibus magnam officiis quidem molestiae id.,107,0,2006-10-29 11:25:53.834,crea
170,610,alumno,368,alumno,mensaje,Nihil beatae optio qui iste eveniet quam consectetur eaque doloribus est quidem sit qui aperiam.,151,0,2006-11-24 09:23:08.279,crea
171,357,alumno,0,docente,comentario,Aspernatur eveniet aut odit et repudiandae quam maxime exercitationem saepe expedita blanditiis ratione ratione pariatur voluptatibus.,1,0,2006-10-23 03:46:17.648,facebook
172,0,docente,559,alumno,reaccion,me_entristece,48,0,2006-08-30 05:35:14.786,facebook
173,371,alumno,252,alumno,mencion,@explicabo,73,0,2006-11-06 05:11:34.71,facebook
174,306,alumno,252,alumno,comentario,Ea soluta voluptate nihil sed doloribus et ea et molestias.,73,0,2006-09-22 04:17:43.424,facebook
175,424,alumno,559,alumno,comentario,Sunt eum exercitationem quaerat voluptatibus accusantium autem sit voluptatem voluptas nihil numquam laboriosam.,90,0,2006-11-02 09:45:28.29,crea
176,79,alumno,-1,null,publicacion,Unde omnis sed aliquid eius sunt aut aut soluta dignissimos enim velit dolorem blanditiis aliquid culpa voluptatem corporis repellendus ea odit.,-1,0,2006-10-31 02:47:21.976,facebook
177,368,alumno,-1,null,publicacion,Est ducimus et doloribus incidunt aut et voluptates consectetur esse sed laudantium repellat ea occaecati ut molestiae aut culpa eum aut.,-1,0,2006-11-24 10:55:00.585,crea
178,79,alumno,-1,null,publicacion,Autem est adipisci totam ducimus non nostrum doloremque enim ullam ipsam eius omnis suscipit ut recusandae quod dolores.,-1,0,2006-09-06 19:17:36.824,crea
179,202,alumno,496,alumno,mencion,@qui,113,0,2006-11-28 02:46:43.069,facebook
180,306,alumno,22,material,consulta,null,-1,0,2006-11-26 15:23:53.989,crea
181,368,alumno,0,docente,comentario,Cum officiis dolor quia voluptatem quis eligendi non id et quo.,122,0,2006-09-23 18:29:51.185,crea
182,368,alumno,16,material,consulta,null,-1,0,2006-11-30 02:49:37.563,crea
183,252,alumno,120,alumno,mencion,@assumenda,119,0,2006-09-03 18:26:21.329,facebook
184,0,docente,610,alumno,reaccion,me_encanta,83,0,2006-11-28 12:54:18.787,facebook
185,44,alumno,306,alumno,mensaje,Beatae dolor pariatur voluptatem doloribus aut nemo illum placeat alias id at deleniti sed eveniet.,-1,0,2006-09-29 16:16:39.616,crea
186,35,alumno,19,material,consulta,null,-1,0,2006-09-12 18:21:55.411,crea
187,368,alumno,252,alumno,mensaje,Aliquam inventore sed ut et explicabo voluptas harum qui quia unde illo consectetur sed ut.,-1,0,2006-09-10 01:17:13.951,crea
188,494,alumno,13,material,consulta,null,-1,0,2006-10-16 00:08:13.0,crea
189,79,alumno,10,material,consulta,null,-1,0,2006-09-13 12:28:00.924,crea
190,499,alumno,44,alumno,comentario,Culpa reiciendis vitae et nihil dolorum ex enim et fuga molestias eaque.,146,0,2006-11-08 21:28:07.017,facebook
191,615,alumno,499,alumno,mencion,@perspiciatis,158,0,2006-08-30 05:00:56.629,facebook
192,261,alumno,22,material,consulta,null,-1,0,2006-08-17 14:26:04.603,crea
193,79,alumno,496,alumno,mencion,@adipisci,44,0,2006-08-30 08:30:59.377,facebook
194,494,alumno,261,alumno,mensaje,Quis quae autem possimus adipisci nisi aut id laborum ut sit voluptates similique reiciendis ut voluptatibus similique et debitis et.,-1,0,2006-09-10 10:47:59.113,crea
195,261,alumno,499,alumno,comentario,Non praesentium minima hic non id aperiam a aut temporibus quidem magnam.,56,0,2006-09-30 05:45:07.528,crea
196,168,alumno,377,alumno,mensaje,Itaque nemo assumenda qui adipisci eius quae eos vitae vitae enim earum nihil dolorum distinctio.,-1,0,2006-08-29 23:26:19.084,crea
197,0,docente,79,alumno,mencion,@quos,193,0,2006-11-12 07:29:33.945,facebook
198,138,alumno,-1,null,publicacion,Illum ut totam explicabo aspernatur officiis ut ipsa adipisci quibusdam rerum blanditiis occaecati qui itaque.,-1,0,2006-08-16 16:07:06.005,facebook
199,424,alumno,18,material,consulta,null,-1,0,2006-11-18 02:00:25.132,facebook
200,261,alumno,496,alumno,mensaje,Ullam quia dolorem corrupti earum aut commodi at earum libero est suscipit incidunt non quo.,-1,0,2006-08-23 01:14:57.935,crea
201,582,alumno,7,material,consulta,null,-1,0,2006-11-26 14:53:04.215,crea
202,0,docente,-1,null,publicacion,Non iure unde vitae possimus sed ab veniam vel repellendus eos quod perferendis animi pariatur.,-1,0,2006-10-02 22:38:37.09,crea
203,582,alumno,11,material,consulta,null,-1,0,2006-11-09 23:50:04.603,crea
204,499,alumno,494,alumno,comentario,Exercitationem non tempore alias est quae mollitia corrupti ex rem.,69,0,2006-11-02 05:34:19.586,facebook
205,586,alumno,-1,null,publicacion,Laboriosam voluptates et quia rem non rerum repellendus consequuntur impedit rerum voluptate quasi laborum saepe temporibus.,-1,0,2006-09-05 23:14:06.853,facebook
206,0,docente,-1,null,publicacion,Quod ea aut adipisci soluta harum dicta illum perspiciatis sit aut eligendi molestiae ea dolor quam laboriosam natus.,-1,0,2006-11-30 01:32:12.217,facebook
207,424,alumno,559,alumno,reaccion,me_gusta,76,0,2006-08-22 23:25:32.118,facebook
208,499,alumno,499,alumno,reaccion,me_enoja,56,0,2006-09-06 04:48:52.411,facebook
